model,num_agents,population,condition,condition_label,treatment,treatment_label,receiver_scope,round,metric,n_runs,mean,ci_low,ci_high
Claude Sonnet 4.5,2,2-agent repeated dyad,game,Game only,random50,50% random defection,ordinary,6,return_proportion,2,0.16666666666666666,-1.9510341227386825,2.2843674560720157
Claude Sonnet 4.5,2,2-agent repeated dyad,game,Game only,random50,50% random defection,ordinary,6,zero_receipt_rate,5,0.6,-0.08008738065825705,1.280087380658257
Claude Sonnet 4.5,2,2-agent repeated dyad,game,Game only,random50,50% random defection,ordinary,6,forced_receiver_rate,5,0.2,-0.3552890210395599,0.75528902103956
Claude Sonnet 4.5,2,2-agent repeated dyad,game,Game only,random50,50% random defection,ordinary,7,return_proportion,1,0.37999999999999995,0.37999999999999995,0.37999999999999995
Claude Sonnet 4.5,2,2-agent repeated dyad,game,Game only,random50,50% random defection,ordinary,7,zero_receipt_rate,5,0.8,0.24471097896044014,1.3552890210395598
Claude Sonnet 4.5,2,2-agent repeated dyad,game,Game only,random50,50% random defection,ordinary,7,forced_receiver_rate,5,0.4,-0.280087380658257,1.0800873806582572
Claude Sonnet 4.5,2,2-agent repeated dyad,game,Game only,random50,50% random defection,ordinary,8,return_proportion,1,0.0,0.0,0.0
Claude Sonnet 4.5,2,2-agent repeated dyad,game,Game only,random50,50% random defection,ordinary,8,zero_receipt_rate,5,0.8,0.24471097896044036,1.3552890210395598
Claude Sonnet 4.5,2,2-agent repeated dyad,game,Game only,random50,50% random defection,ordinary,8,forced_receiver_rate,5,0.6,-0.08008738065825705,1.280087380658257
Claude Sonnet 4.5,2,2-agent repeated dyad,game,Game only,random50,50% random defection,ordinary,9,return_proportion,1,0.445,0.445,0.445
Claude Sonnet 4.5,2,2-agent repeated dyad,game,Game only,random50,50% random defection,ordinary,9,zero_receipt_rate,5,0.8,0.24471097896044014,1.3552890210395598
