fe,setting,role,model,predictor,level,coef,ci_low,ci_high,p,n_decisions,n_runs
agent,2-agent mixed,investor,"own + shown label, no lag",shown_label,be generous,0.005279515989618155,-0.022995641525122047,0.033554673504358354,0.7143926921791075,304,36
agent,2-agent mixed,trustee,"own + shown label, own lag",own_label,be cautious,0.038571316610353276,-0.027498468120774486,0.10464110134148104,0.25253227079196616,281,36
agent,2-agent mixed,trustee,"own + shown label, own lag",own_label,be generous,0.0010027993115070215,-0.012389647493813617,0.01439524611682766,0.8833229291657861,281,36
agent,2-agent mixed,trustee,"own + shown label, own lag",shown_label,be cautious,0.032603249330237255,-0.012055498378640998,0.07726199703911552,0.15246534459485572,281,36
agent,2-agent mixed,trustee,"own + shown label, own lag",shown_label,be generous,0.00553905482975212,-0.017955216077085764,0.029033325736590003,0.6440204335878392,281,36
agent,2-agent mixed,trustee,"own + shown label, own lag",coop_lag_same_role,,-0.028712960537154757,-0.16130502783249825,0.10387910675818875,0.6712505002033042,281,36
agent,2-agent mixed,trustee,"own + shown label, no lag",own_label,be cautious,0.03931319894881474,-0.011255413673388753,0.08988181157101824,0.12757843579092973,305,36
agent,2-agent mixed,trustee,"own + shown label, no lag",own_label,be generous,-0.0065981359081797855,-0.01986774423104339,0.006671472414683819,0.32977559921099053,305,36
agent,2-agent mixed,trustee,"own + shown label, no lag",shown_label,be cautious,0.023759352594294056,-0.012355946651420001,0.05987465184000811,0.19725513086385793,305,36
agent,2-agent mixed,trustee,"own + shown label, no lag",shown_label,be generous,0.008061947151080889,-0.013795000427761253,0.029918894729923033,0.4697205595953492,305,36
agent,8-agent homogeneous,investor,"own + shown label, own lag",own_label,be cautious,0.019534315236134546,-0.10921412745873654,0.14828275793100565,0.7661803099063322,960,30
agent,8-agent homogeneous,investor,"own + shown label, own lag",own_label,be generous,0.009713793626321323,-0.013519774819269349,0.032947362071912,0.41253123986728657,960,30
agent,8-agent homogeneous,investor,"own + shown label, own lag",shown_label,be cautious,0.03869340535665315,-0.13089634426948127,0.2082831549827876,0.6547428158618227,960,30
agent,8-agent homogeneous,investor,"own + shown label, own lag",shown_label,be generous,-0.016482387544109363,-0.03749592596242743,0.0045311508742087,0.1242108535516096,960,30
agent,8-agent homogeneous,investor,"own + shown label, own lag",coop_lag_same_role,,-0.19178050163717927,-0.2938257691741156,-0.08973523410024291,0.0002300609539238134,960,30
agent,8-agent homogeneous,investor,"own + shown label, no lag",own_label,be cautious,0.019896306969885345,-0.08274377803032468,0.12253639197009536,0.703997394799863,1020,30
agent,8-agent homogeneous,investor,"own + shown label, no lag",own_label,be generous,0.009035825780718099,-0.016035228903678558,0.03410688046511476,0.47994685843455387,1020,30
agent,8-agent homogeneous,investor,"own + shown label, no lag",shown_label,be cautious,0.041795527124711,-0.11358265605140239,0.19717371030082437,0.5980442082126298,1020,30
agent,8-agent homogeneous,investor,"own + shown label, no lag",shown_label,be generous,-0.008678735076075056,-0.025072734162026787,0.007715264009876675,0.2994678318283923,1020,30
agent,8-agent homogeneous,investor,placebo: co-player's unseen label,coplayer_label,be cautious,0.028682025979003132,-0.08832850159820936,0.14569255355621563,0.6309194176569874,879,30
agent,8-agent homogeneous,investor,placebo: co-player's unseen label,coplayer_label,be generous,0.009158979683432518,-0.014607199241005201,0.032925158607870236,0.45005195192115655,879,30
