child_family,marker_family,size,group,round,marker_rate_mean,marker_rate_sd,n_myths
Sonnet,GPT,2,"mixed, round 1 (nothing shown)",1,0.0032407407407407406,0.005001870207658444,12
Sonnet,GPT,8,homogeneous,1,0.003194444444444444,0.004658605991364645,80
Sonnet,GPT,8,homogeneous,2,0.0026388888888888894,0.0040483675197459015,80
Sonnet,GPT,8,homogeneous,3,0.001875,0.0034171083039327825,80
Sonnet,GPT,8,homogeneous,4,0.0025,0.003842906776055266,80
Sonnet,GPT,8,homogeneous,5,0.0019444444444444444,0.0036553334633862523,80
Sonnet,GPT,8,homogeneous,6,0.00125,0.002928405484396571,80
Sonnet,GPT,8,homogeneous,7,0.0017361111111111112,0.0034906333263333756,80
Sonnet,GPT,8,homogeneous,8,0.0014583333333333334,0.002759256112792676,80
Sonnet,GPT,8,homogeneous,9,0.0026388888888888894,0.004505123752115853,80
Sonnet,GPT,8,homogeneous,10,0.002430555555555556,0.003937683633662348,80
Sonnet,GPT,8,"mixed, shown same family",2,0.0024801587301587305,0.0038633715748863616,112
Sonnet,GPT,8,"mixed, shown same family",3,0.003125,0.004397983506744001,112
Sonnet,GPT,8,"mixed, shown same family",4,0.003400383141762452,0.005010539172998599,116
Sonnet,GPT,8,"mixed, shown same family",5,0.002628968253968254,0.0037995472855918595,112
Sonnet,GPT,8,"mixed, shown same family",6,0.0030723905723905724,0.004820517845642453,132
Sonnet,GPT,8,"mixed, shown same family",7,0.002777777777777778,0.004134904250956659,140
Sonnet,GPT,8,"mixed, shown same family",8,0.0025537634408602148,0.004332325268311025,124
Sonnet,GPT,8,"mixed, shown same family",9,0.0029629629629629632,0.0043173550453103815,120
Sonnet,GPT,8,"mixed, shown same family",10,0.0024537037037037036,0.0038648606311981817,120
Sonnet,GPT,8,"mixed, shown other family",2,0.004885057471264368,0.0053142105809677875,58
Sonnet,GPT,8,"mixed, shown other family",3,0.004693486590038314,0.005182579838838332,58
Sonnet,GPT,8,"mixed, shown other family",4,0.004218106995884774,0.004696121626784066,54
Sonnet,GPT,8,"mixed, shown other family",5,0.005076628352490422,0.006093318308089972,58
Sonnet,GPT,8,"mixed, shown other family",6,0.004678362573099414,0.005992754465898356,38
Sonnet,GPT,8,"mixed, shown other family",7,0.00462962962962963,0.006856078914263971,30
Sonnet,GPT,8,"mixed, shown other family",8,0.004951690821256039,0.005998200561165719,46
Sonnet,GPT,8,"mixed, shown other family",9,0.004666666666666667,0.006384820749561513,50
